Japanese,English,Score
毎日、家事がとても忙しく、映画を観に行く暇がない。,,0.963895738124847
この地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,,0.961754441261292
まだ決めたわけではありませんが、会社を辞める事を考えています。,,0.89910364151001
図書館に来る学生の中には、まるで喫茶店にいるかのように振る舞う者がいる。,,0.969525933265686
このバイクは、イギリスでは日本のおよそ二倍の値段です。,,0.956732153892517
朝起きたら最初に何をしますか。,,0.982282161712646
インターネットの普及とともに、ここ数年、パソコンの売り上げが急速に伸びている。,,0.982922792434692
率直に言って、私が昨日受けた入学試験は思ってたよりもはるかに難しい。,,0.964872598648071
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,,0.967442512512207
今朝電車に乗ったとき、空いた席が見つからなかった。,,0.955791652202606
健康を維持する秘訣は、バランスのとれた食事をし定期的に運動することです。,,0.958122730255127
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,,0.962334871292114
この木の机は重いので私一人では二階まで運べない。,,0.96091890335083
今朝からずっと待っているのに、彼はまだ現れない。,,0.943260490894318
母親のわが子に対する愛情ほど美しいものはない。,,0.970151543617248
この頃、天候が変わりやすい。,,0.969896614551544
読書は我々が子供に伝えなければならない文化遺産の一部だということを忘れてはならない。,,0.962379395961762
東京の気候は私の故郷よりもはるかに穏やかだ。,,0.958348155021668
大学を卒業したら海外で仕事を探すことに決めている。,,0.953765988349915
最初トムは冗談を言っていると思ったが、後で本気だとわかった。,,0.962618589401245
英語を話せさえすれば国際人になれると勘違いしている日本人が多いのは残念だ。,,0.928488194942474
その店で買い物をしていたら、旧友のジムに会いました。,,0.976595044136047
日本を訪れる外国人観光客は年々増えている。,,0.971209526062012
この前の日曜日、生まれて初めてイタリア料理に挑戦してみましたが、とってもおいしいものができました。,,0.961301922798157
ホワイト氏は、四人家族を養うために一生懸命働いた。,,0.951483130455017
もし彼がその電車に乗っていたら、事故に巻き込まれたでしょう。,,0.980214178562164
たいていの日本人は、大部分の時間を生きるために働いで過ごす。,,0.983346283435822
